drug_index,drug,smiles,murcko_scaffold,split_group,has_murcko_scaffold,n_positive,scaffold_fold
124,ciclosporin,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,True,109,0
125,cyproterone,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C,O=C1C=C2C=CC3C4CCCC4CCC3C2C2CC12,O=C1C=C2C=CC3C4CCCC4CCC3C2C2CC12,True,7,4
126,danazol,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,True,10,1
127,dantrolene,C1C(=O)N=C(N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-],O=C1CN(N=Cc2ccc(-c3ccccc3)o2)C=N1,O=C1CN(N=Cc2ccc(-c3ccccc3)o2)C=N1,True,16,2
128,dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,O=S(=O)(c1ccccc1)c1ccccc1,O=S(=O)(c1ccccc1)c1ccccc1,True,16,0
129,daunorubicin,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)C)O)N)O,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,True,43,3
130,deferoxamine,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,,ACYCLIC::CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,False,50,9
131,dextromethorphan,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,c1ccc2c(c1)CC1NCCC23CCCCC13,c1ccc2c(c1)CC1NCCC23CCCCC13,True,8,4
132,eflornithine,C(CC(C(F)F)(C(=O)O)N)CN,,ACYCLIC::NCCCC(N)(C(=O)O)C(F)F,False,20,4
133,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,O=C1CN=C(c2ccccc2)c2ccccc2N1,O=C1CN=C(c2ccccc2)c2ccccc2N1,True,5,5
134,diclofenac,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,c1ccc(Nc2ccccc2)cc1,c1ccc(Nc2ccccc2)cc1,True,165,2
135,dicloxacillin,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-],O=C(NC1C(=O)N2CCSC12)c1conc1-c1ccccc1,O=C(NC1C(=O)N2CCSC12)c1conc1-c1ccccc1,True,31,8
136,dicycloverine,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,C1CCC(C2CCCCC2)CC1,C1CCC(C2CCCCC2)CC1,True,8,4
137,didanosine,C1CC(OC1CO)N2C=NC3=C2NC=NC3=O,O=c1nc[nH]c2c1ncn2C1CCCO1,O=c1nc[nH]c2c1ncn2C1CCCO1,True,8,9
138,digoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)CO1,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)CO1,True,10,3
139,dihydrocodeine,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O,c1cc2c3c(c1)OC1CCCC4C(C2)NCCC314,c1cc2c3c(c1)OC1CCCC4C(C2)NCCC314,True,33,3
140,dihydroergotamine,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,O=C(NC1OC2C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O)C1CNC2Cc3c[nH]c4cccc(c34)C2C1,O=C(NC1OC2C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O)C1CNC2Cc3c[nH]c4cccc(c34)C2C1,True,87,5
141,diltiazem,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CC[NH+](C)C)C3=CC=C(C=C3)OC,O=C1CC(c2ccccc2)Sc2ccccc2N1,O=C1CC(c2ccccc2)Sc2ccccc2N1,True,55,3
142,dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,c1nc(N2CCCCC2)c2ncnc(N3CCCCC3)c2n1,c1nc(N2CCCCC2)c2ncnc(N3CCCCC3)c2n1,True,84,8
143,valproic.acid,CCCC(CCC)C(=O)O,,ACYCLIC::CCCC(CCC)C(=O)O,False,50,5
144,docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,O=C(CCc1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1,O=C(CCc1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1,True,52,9
145,dolasetron,C1C2CC3CC(CC1N3CC2=O)OC(=O)C4=CNC5=CC=CC=C54,O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,True,17,5
146,donepezil,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,True,268,2
147,doxazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,O=C(C1COc2ccccc2O1)N1CCN(c2ncc3ccccc3n2)CC1,O=C(C1COc2ccccc2O1)N1CCN(c2ncc3ccccc3n2)CC1,True,78,2
148,doxepin,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,C=C1c2ccccc2COc2ccccc21,C=C1c2ccccc2COc2ccccc21,True,128,6
149,droxidopa,C1=CC(=C(C=C1C(C(C(=O)O)N)O)O)O,c1ccccc1,c1ccccc1,True,8,0
150,trabectedin,CC1=C(C(=C2C3C4C5C6=C(C(N4C(C(N3C)CC2=C1)O)COC(=O)C7(CS5)C8=CC(=C(C=C8CCN7)O)OC)C9=C(C(=C6OC(=O)C)C)OCO9)O)OC,O=C1OCC2c3c(ccc4c3OCO4)C(SCC13NCCc1ccccc13)C1C3NC(Cc4ccccc43)CN21,O=C1OCC2c3c(ccc4c3OCO4)C(SCC13NCCc1ccccc13)C1C3NC(Cc4ccccc43)CN21,True,6,3
151,efavirenz,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,O=C1Nc2ccccc2C(C#CC2CC2)O1,O=C1Nc2ccccc2C(C#CC2CC2)O1,True,71,7
152,enalapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O,O=C(CNCCCc1ccccc1)N1CCCC1,O=C(CNCCCc1ccccc1)N1CCCC1,True,16,7
153,estazolam,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,True,102,3
154,estramustine,CC12CCC3C(C1CCC2OP(=O)(O)O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl,c1ccc2c(c1)CCC1C2CCC2CCCC21,c1ccc2c(c1)CCC1C2CCC2CCCC21,True,47,9
155,etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,True,31,0
156,famciclovir,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,c1ncc2nc[nH]c2n1,c1ncc2nc[nH]c2n1,True,44,3
157,famotidine,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,c1cscn1,c1cscn1,True,11,1
158,felbamate,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,c1ccccc1,c1ccccc1,True,88,0
159,fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,O=C(c1ccccc1)c1ccccc1,O=C(c1ccccc1)c1ccccc1,True,55,1
160,fentanyl,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,True,92,5
161,fexofenadine,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1,c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1,True,21,3
162,finasteride,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,O=C1C=CC2C(CCC3C4CCCC4CCC23)N1,O=C1C=CC2C(CCC3C4CCCC4CCC23)N1,True,22,4
163,flecainide,C1CCNC(C1)C[NH2+]C(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,O=C([NH2+]CC1CCCCN1)c1ccccc1,O=C([NH2+]CC1CCCCN1)c1ccccc1,True,14,5
164,flucloxacillin,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,O=C(NC1C(=O)N2CCSC12)c1conc1-c1ccccc1,O=C(NC1C(=O)N2CCSC12)c1conc1-c1ccccc1,True,22,8
165,fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,c1ccc(C(Cn2cncn2)Cn2cncn2)cc1,c1ccc(C(Cn2cncn2)Cn2cncn2)cc1,True,47,4
166,fludarabine,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F,c1ncc2ncn(C3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,True,87,9
167,flunisolide,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,True,8,7
168,flunitrazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,O=C1CN=C(c2ccccc2)c2ccccc2N1,O=C1CN=C(c2ccccc2)c2ccccc2N1,True,31,5
169,fluocinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,True,5,7
170,fluorouracil,C1=C(C(=O)NC(=O)N1)F,O=c1cc[nH]c(=O)[nH]1,O=c1cc[nH]c(=O)[nH]1,True,16,8
171,fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,c1ccc(COc2ccccc2)cc1,c1ccc(COc2ccccc2)cc1,True,307,5
172,flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,c1ccccc1,c1ccccc1,True,12,0
173,fluvastatin,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,c1ccc(-c2c[nH]c3ccccc23)cc1,c1ccc(-c2c[nH]c3ccccc23)cc1,True,49,5
174,fluvoxamine,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,c1ccccc1,c1ccccc1,True,300,0
175,formoterol,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,c1ccc(CCNCCc2ccccc2)cc1,c1ccc(CCNCCc2ccccc2)cc1,True,12,0
176,foscarnet,C(=O)([O-])P(=O)([O-])[O-],,ACYCLIC::O=C([O-])P(=O)([O-])[O-],False,8,6
177,fosfomycin,CC1C(O1)P(=O)(O)O,C1CO1,C1CO1,True,7,7
178,fosinopril,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3,O=C(C[PH](=O)CCCCc1ccccc1)N1CCC(C2CCCCC2)C1,O=C(C[PH](=O)CCCCc1ccccc1)N1CCC(C2CCCCC2)C1,True,7,9
179,romidepsin,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,C=C1NC(=O)C2CSSCCC=CC(CC(=O)NCC(=O)N2)OC(=O)CNC1=O,C=C1NC(=O)C2CSSCCC=CC(CC(=O)NCC(=O)N2)OC(=O)CNC1=O,True,43,8
180,furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,c1ccc(NCc2ccco2)cc1,c1ccc(NCc2ccco2)cc1,True,20,9
181,fusidic.acid,CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C,C=C1CCC2C1CCC1C3CCCCC3CCC21,C=C1CCC2C1CCC1C3CCCCC3CCC21,True,10,4
182,gabapentin,C1CCC(CC1)(CC(=O)O)CN,C1CCCCC1,C1CCCCC1,True,363,5
183,galantamine,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,C1=CC23CCNCc4cccc(c42)OC3CC1,C1=CC23CCNCc4cccc(c42)OC3CC1,True,116,7
184,ganciclovir,C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N,O=c1nc[nH]c2[nH]cnc12,O=c1nc[nH]c2[nH]cnc12,True,50,4
185,gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,O=c1ncccn1C1CCCO1,O=c1ncccn1C1CCCO1,True,86,1
186,gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,c1ccccc1,c1ccccc1,True,21,0
187,gliclazide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,O=C(NN1CC2CCCC2C1)NS(=O)(=O)c1ccccc1,O=C(NN1CC2CCCC2C1)NS(=O)(=O)c1ccccc1,True,42,4
188,glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)N2CC=CC2=O)cc1,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)N2CC=CC2=O)cc1,True,6,2
189,glipizide,CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)c2cnccn2)cc1,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)c2cnccn2)cc1,True,6,7
190,glycopyrronium.bromide,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C,O=C(OC1CC[NH2+]C1)C(c1ccccc1)C1CCCC1,O=C(OC1CC[NH2+]C1)C(c1ccccc1)C1CCCC1,True,34,7
191,granisetron,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,O=C(NC1CC2CCCC(C1)N2)c1n[nH]c2ccccc12,O=C(NC1CC2CCCC(C1)N2)c1n[nH]c2ccccc12,True,34,3
192,guanfacine,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,c1ccccc1,c1ccccc1,True,18,0
193,haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,True,50,7
194,hydralazine,C1=CC=C2C(=C1)C=NN=C2NN,c1ccc2cnncc2c1,c1ccc2cnncc2c1,True,67,2
195,hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,O=S1(=O)NCNc2ccccc21,O=S1(=O)NCNc2ccccc21,True,12,2
196,hydrocortisone,CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,True,15,1
197,hydromorphone,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,O=C1CCC2C3Cc4cccc5c4C2(CCN3)C1O5,O=C1CCC2C3Cc4cccc5c4C2(CCN3)C1O5,True,27,9
198,hydroxycarbamide,C(=O)(N)NO,,ACYCLIC::NC(=O)NO,False,19,1
199,hyoscyamine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,O=C(Cc1ccccc1)OC1CC2CCC(C1)N2,O=C(Cc1ccccc1)OC1CC2CCC(C1)N2,True,27,4
200,ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,c1ccccc1,c1ccccc1,True,35,0
201,lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,c1ccccc1,c1ccccc1,True,5,0
202,idarubicin,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,True,12,3
203,ifosfamide,C1CN(P(=O)(OC1)NCCCl)CCCl,O=[PH]1NCCCO1,O=[PH]1NCCCO1,True,37,4
204,imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,c1ccc2c(c1)CCc1ccccc1N2,c1ccc2c(c1)CCc1ccccc1N2,True,84,8
205,indapamide,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,O=C(NN1CCc2ccccc21)c1ccccc1,O=C(NN1CCc2ccccc21)c1ccccc1,True,35,5
206,indinavir,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,O=C(NC1CCc2ccccc21)C(CCCN1CCN(Cc2cccnc2)CC1)Cc1ccccc1,O=C(NC1CCc2ccccc21)C(CCCN1CCN(Cc2cccnc2)CC1)Cc1ccccc1,True,41,3
207,indometacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,O=C(c1ccccc1)n1ccc2ccccc21,O=C(c1ccccc1)n1ccc2ccccc21,True,11,2
208,iodixanol,CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,c1ccc(NCCCNc2ccccc2)cc1,c1ccc(NCCCNc2ccccc2)cc1,True,16,7
209,iohexol,CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,c1ccccc1,c1ccccc1,True,6,0
210,iopamidol,CC(C(=O)NC1=C(C(=C(C(=C1I)C(=O)NC(CO)CO)I)C(=O)NC(CO)CO)I)O,c1ccccc1,c1ccccc1,True,12,0
211,iopromide,CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,c1ccccc1,c1ccccc1,True,25,0
212,iotrolan,CN(C1=C(C(=C(C(=C1I)C(=O)NC(CO)C(CO)O)I)C(=O)NC(CO)C(CO)O)I)C(=O)CC(=O)N(C)C2=C(C(=C(C(=C2I)C(=O)NC(CO)C(CO)O)I)C(=O)NC(CO)C(CO)O)I,O=C(CC(=O)Nc1ccccc1)Nc1ccccc1,O=C(CC(=O)Nc1ccccc1)Nc1ccccc1,True,11,5
213,ipratropium.bromide,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C,O=C(Cc1ccccc1)OC1CC2CCC(C1)[NH2+]2,O=C(Cc1ccccc1)OC1CC2CCC(C1)[NH2+]2,True,66,5
214,irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,O=C1N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C=NC12CCCC2,O=C1N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C=NC12CCCC2,True,87,9
215,irinotecan,CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)C5(CC)O)OC(=O)N6CCC(CC6)N7CCCCC7,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc(OC(=O)N4CCC(N5CCCCC5)CC4)ccc2nc1-3,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc(OC(=O)N4CCC(N5CCCCC5)CC4)ccc2nc1-3,True,52,9
216,isradipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,C1=CC(c2cccc3nonc23)C=CN1,C1=CC(c2cccc3nonc23)C=CN1,True,25,4
217,itraconazole,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,O=c1[nH]ncn1-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5cncn5)(c5ccccc5)O4)cc3)CC2)cc1,O=c1[nH]ncn1-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5cncn5)(c5ccccc5)O4)cc3)CC2)cc1,True,70,7
218,ketorolac,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,O=C(c1ccccc1)c1ccc2n1CCC2,O=C(c1ccccc1)c1ccc2n1CCC2,True,18,9
219,labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,c1ccc(CCCNCCc2ccccc2)cc1,c1ccc(CCCNCCc2ccccc2)cc1,True,40,7
220,lamivudine,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,O=c1ncccn1C1CSCO1,O=c1ncccn1C1CSCO1,True,67,8
221,lamotrigine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,c1ccc(-c2cncnn2)cc1,c1ccc(-c2cncnn2)cc1,True,270,6
222,dexlansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,True,5,2
223,lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,True,21,2
224,latanoprost,CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O,c1ccc(CCCCCC2CCCC2)cc1,c1ccc(CCCCCC2CCCC2)cc1,True,14,2
225,leflunomide,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,O=C(Nc1ccccc1)c1cnoc1,O=C(Nc1ccccc1)c1cnoc1,True,69,9
226,letrozole,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,c1ccc(C(c2ccccc2)n2cncn2)cc1,c1ccc(C(c2ccccc2)n2cncn2)cc1,True,98,7
227,linezolid,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,O=C1OCCN1c1ccc(N2CCOCC2)cc1,O=C1OCCN1c1ccc(N2CCOCC2)cc1,True,41,5
228,lisinopril,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,O=C(CNCCCc1ccccc1)N1CCCC1,O=C(CNCCCc1ccccc1)N1CCCC1,True,100,7
229,lomefloxacin,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,True,14,3
230,loratadine,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,True,6,9
231,lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,O=C1CN=C(c2ccccc2)c2ccccc2N1,O=C1CN=C(c2ccccc2)c2ccccc2N1,True,40,5
232,losartan,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,c1ccc(-c2nn[nH]n2)c(-c2ccc(Cn3ccnc3)cc2)c1,c1ccc(-c2nn[nH]n2)c(-c2ccc(Cn3ccnc3)cc2)c1,True,35,0
233,lovastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,True,12,6
234,loxapine,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1O2,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1O2,True,15,9
235,maprotiline,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,c1ccc2c(c1)C1CCC2c2ccccc21,c1ccc2c(c1)C1CCC2c2ccccc21,True,15,5
