model,fold,drug_index,drug_name,positive_count,AP,AUROC,nDCG@10,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP,top15_hot_fraction,top_ranked_true_positives,top_ranked_nonhot_true_positives
CAFNet-DG,1,237,medroxyprogesterone,35,0.35211482197619304,0.9139579919559064,0.568003577662161,0.5333333333333333,0.22857142857142856,,,0.3671302422606648,0.07875441755402365,1.0,headache; nausea; rash; dizziness; dermatitis,libido decreased; injection site reaction; breast pain; disturbance in sexual arousal; hot flush
CAFNet,1,238,megestrol,7,0.08896874691905747,0.9425387176147054,0.07945707943276738,0.13333333333333333,0.2857142857142857,,,0.11709453988524045,0.1736111111111111,0.4,libido decreased; disturbance in sexual arousal; erectile dysfunction; hypertension; body temperature increased,libido decreased; disturbance in sexual arousal
CAFNet-D,1,238,megestrol,7,0.048986862972011484,0.8556954696772326,0.0,0.0,0.0,,,0.05140457569456703,0.00681088027414864,1.0,body temperature increased; insomnia; hypertension; hyperglycaemia; erectile dysfunction,disturbance in sexual arousal; libido decreased
CAFNet-DG,1,238,megestrol,7,0.054047384972158594,0.9193805181647127,0.0,0.0,0.0,,,0.05498505215321031,0.03290816326530612,1.0,body temperature increased; insomnia; hypertension; hyperglycaemia; erectile dysfunction,disturbance in sexual arousal; libido decreased
CAFNet,1,256,mifepristone,26,0.5144062321886351,0.9553003814367451,0.5244120408057166,0.6,0.34615384615384615,,0.004273504273504274,0.5341666263195463,0.0015128593040847202,1.0,diarrhoea; headache; vomiting; musculoskeletal discomfort; constipation,blood potassium decreased
CAFNet-D,1,256,mifepristone,26,0.5700642286706091,0.9779879211697394,0.7254521107352793,0.5333333333333333,0.3076923076923077,,0.021739130434782608,0.5888357900654955,0.006211180124223602,1.0,headache; dizziness; diarrhoea; vomiting; asthenia,blood potassium decreased
CAFNet-DG,1,256,mifepristone,26,0.5652907278813845,0.9762396694214877,0.7314470771099788,0.5333333333333333,0.3076923076923077,,0.016129032258064516,0.5844006734949565,0.005076142131979695,1.0,headache; diarrhoea; vomiting; dizziness; asthenia,blood potassium decreased
CAFNet,1,291,orlistat,67,0.4452682683294704,0.8450546619652546,0.7877736340270853,0.7333333333333333,0.16417910447761194,0.06394844522500764,0.06851972237920213,0.5562895868628654,0.08546035459866105,0.9333333333333333,diarrhoea; vomiting; abdominal pain; gastrointestinal pain; nausea,eczema; vaginal infection; sleep disorder; hypoglycaemia; abdominal discomfort
CAFNet-D,1,291,orlistat,67,0.45558871991269984,0.8120401230095478,0.933745776545611,0.8666666666666667,0.19402985074626866,0.03626703085294277,0.054398756081940225,0.5770309990380996,0.09906976694520334,1.0,headache; dizziness; nausea; diarrhoea; vomiting,hypoglycaemia; abdominal discomfort; arthritis; gastritis; rectal haemorrhage
CAFNet-DG,1,291,orlistat,67,0.4859914896904535,0.828317957139867,0.9363792118010483,0.8,0.1791044776119403,0.03749725713077438,0.05909384976208587,0.6125516978224388,0.09338058049399918,1.0,nausea; headache; diarrhoea; vomiting; dizziness,hypoglycaemia; abdominal discomfort; arthritis; eczema; vaginal infection
CAFNet,1,304,pentostatin,54,0.40525016003265096,0.7762214342001575,0.6020521034564038,0.6,0.16666666666666666,0.037030346820809246,0.01928091436398563,0.4950049304201775,0.02211422695428989,1.0,asthenia; headache; fatigue; diarrhoea; vomiting,sepsis; candida infection; neurotoxicity; liver function test abnormal; lung disorder
CAFNet-D,1,304,pentostatin,54,0.49463871886378685,0.8272458628841608,0.8263333286520083,0.8666666666666667,0.24074074074074073,0.036485602094240836,0.018080411465906172,0.5919038268984783,0.03819504815305451,1.0,headache; nausea; vomiting; diarrhoea; asthenia,nervous system disorder; sepsis; skin disorder; herpes zoster; neurotoxicity
CAFNet-DG,1,304,pentostatin,54,0.4870274766859296,0.8200551615445233,0.8899541168509599,0.8666666666666667,0.24074074074074073,0.047014260249554365,0.018020467895592907,0.5843909341475844,0.030232070714428388,1.0,headache; nausea; diarrhoea; vomiting; asthenia,sepsis; neurotoxicity; liver function test abnormal; skin disorder; nervous system disorder
CAFNet,1,307,sodium.phenylbutyrate,35,0.2252906220834801,0.7666021152986742,0.4447551423209716,0.4,0.17142857142857143,0.03923407734018637,0.017636028514715678,0.2751429564161114,0.03853960883722142,0.9333333333333333,headache; dizziness; vomiting; nausea; gastrointestinal pain,irritability; arrhythmia; ecchymosis; pancreatitis; rectal haemorrhage
CAFNet-D,1,307,sodium.phenylbutyrate,35,0.32096251667795067,0.7836734693877551,0.7573821447149965,0.6,0.2571428571428571,0.006813857908375786,0.022484167415331456,0.390835750948208,0.0359577929061749,1.0,headache; dizziness; nausea; vomiting; dermatitis,gastritis; irritability; rectal haemorrhage; ecchymosis; arrhythmia
CAFNet-DG,1,307,sodium.phenylbutyrate,35,0.3130635660808906,0.7835840905705348,0.7534494445524138,0.6,0.2571428571428571,0.00711885153717798,0.02592433796951124,0.3806162888074324,0.03862945008257186,1.0,headache; dizziness; nausea; vomiting; abdominal pain,irritability; arrhythmia; ecchymosis; gastritis; rectal haemorrhage
CAFNet,1,312,pirbuterol,22,0.37136527495858407,0.963757949869061,0.5393497968667578,0.5333333333333333,0.36363636363636365,,,0.3770467229125226,0.09614695340501792,1.0,headache; rash; dermatitis; asthenia; fatigue,nasal congestion; contusion; dysphonia
CAFNet-D,1,312,pirbuterol,22,0.5750428403206195,0.9553404414515525,0.8006937664098821,0.6,0.4090909090909091,,,0.5798538807324962,0.11898148148148148,1.0,headache; dizziness; nausea; vomiting; diarrhoea,nasal congestion; dysphonia; contusion
CAFNet-DG,1,312,pirbuterol,22,0.5745010106637651,0.9657220351664796,0.8701249883466594,0.6,0.4090909090909091,,,0.5783611175396314,0.07385328696804105,1.0,headache; nausea; dizziness; vomiting; asthenia,nasal congestion; dysphonia; contusion
CAFNet,1,316,prazosin,23,0.33349245660875526,0.959611337482649,0.293416398273637,0.4666666666666667,0.30434782608695654,,,0.338405663178721,0.008547008547008548,0.9333333333333333,somnolence; dizziness; fatigue; asthenia; nervousness,nasal congestion
CAFNet-D,1,316,prazosin,23,0.6114573025133849,0.9794922312273318,0.9363792118010483,0.6,0.391304347826087,,,0.6114573025133847,0.09090909090909091,1.0,headache; dizziness; nausea; asthenia; diarrhoea,nasal congestion
CAFNet-DG,1,316,prazosin,23,0.5979171383258587,0.9755518739085658,0.9363792118010483,0.6,0.391304347826087,,,0.5981984771182203,0.021739130434782608,1.0,dizziness; headache; asthenia; nausea; vomiting,nasal congestion
CAFNet,1,336,rofecoxib,16,0.4511384283250043,0.9687819529652352,0.6053424112723567,0.5333333333333333,0.5,0.07692307692307693,,0.47903963079766076,0.01,0.9333333333333333,diarrhoea; nausea; gastrointestinal pain; abdominal pain; dizziness,epigastric discomfort
CAFNet-D,1,336,rofecoxib,16,0.5158421795389064,0.9811477505112474,0.5577804057619871,0.5333333333333333,0.5,0.14285714285714285,,0.5442726265174778,0.011235955056179775,1.0,nausea; dizziness; diarrhoea; asthenia; abdominal pain,epigastric discomfort
CAFNet-DG,1,336,rofecoxib,16,0.5228802442807896,0.9793583844580778,0.6969179698201174,0.5333333333333333,0.5,0.25,,0.5515373768452452,0.012195121951219513,1.0,nausea; diarrhoea; dizziness; abdominal pain; gastrointestinal pain,epigastric discomfort
CAFNet,1,340,selegiline,198,0.5991840219857311,0.850794375920004,0.8293271620269697,0.7333333333333333,0.05555555555555555,0.01276896731442186,0.1493901605943734,0.6837869487705553,0.38844818854108276,0.9333333333333333,headache; diarrhoea; dizziness; abdominal pain; nausea,dyskinesia; injury; hallucination; cystitis; cystitis noninfective
CAFNet-D,1,340,selegiline,198,0.5741608822992197,0.8068943200852748,0.8482378089219645,0.8666666666666667,0.06565656565656566,0.007842664092664093,0.09065320048988612,0.6899234027449097,0.3054702944645577,1.0,headache; dizziness; nausea; diarrhoea; vomiting,eye pain; skin disorder; gastroenteritis; abnormal dreams; dry eye
CAFNet-DG,1,340,selegiline,198,0.6078815380284629,0.8305352520176641,0.8482378089219645,0.8666666666666667,0.06565656565656566,0.008276797829036635,0.09548133458306979,0.7046738707300255,0.3711020577311633,1.0,headache; dizziness; nausea; diarrhoea; vomiting,injury; gastroenteritis; urinary retention; eye pain; cystitis noninfective
CAFNet,1,374,toremifene,23,0.16880795737916648,0.8645502171674204,0.25974865577723427,0.4,0.2608695652173913,,0.03867243867243867,0.19131598068891925,0.2579634235335276,0.8666666666666667,menopausal symptoms; hot flush; dizziness; vomiting; nausea,menopausal symptoms; hot flush; vaginal haemorrhage; vaginal discharge; cataract
CAFNet-D,1,374,toremifene,23,0.13963057434232393,0.7645636502037343,0.31879392588472627,0.2,0.13043478260869565,,0.013202527809269383,0.16919895677868863,0.1673104881741883,1.0,nausea; vomiting; dizziness; menopausal symptoms; hot flush,menopausal symptoms; hot flush; vaginal discharge; vaginal haemorrhage; dry eye
CAFNet-DG,1,374,toremifene,23,0.1514148610884359,0.8038776698159675,0.2735872697693365,0.3333333333333333,0.21739130434782608,,0.016515120899845085,0.1781261153996374,0.275186384647006,0.8666666666666667,nausea; vomiting; dizziness; menopausal symptoms; hot flush,menopausal symptoms; hot flush; vaginal discharge; vaginal haemorrhage; cataract
CAFNet,1,375,tramadol,247,0.5429932353201404,0.7394219252177401,0.7846170207230129,0.8,0.048582995951417005,0.12044088511910428,0.16360105550598336,0.6764936140451192,0.3247496863992717,0.9333333333333333,somnolence; dry mouth; tremor; dizziness; insomnia,mental disability; irritability; neck pain; musculoskeletal stiffness; influenza like illness
CAFNet-D,1,375,tramadol,247,0.6008359529132443,0.752814225864321,1.0,1.0,0.06072874493927125,0.1288927290033044,0.19244488607013605,0.7448256460427463,0.3652794173232606,1.0,dizziness; headache; nausea; diarrhoea; asthenia,osteoarthritis; migraine; arthritis; ataxia; urinary retention
CAFNet-DG,1,375,tramadol,247,0.5908250515906498,0.7499200581001468,1.0,1.0,0.06072874493927125,0.12538817086150772,0.18836287075570524,0.7319875841195269,0.35318628000776636,1.0,dizziness; headache; somnolence; nausea; diarrhoea,mental disability; osteoarthritis; migraine; menopausal symptoms; hot flush
CAFNet,1,378,trazodone,66,0.4946732748357471,0.9321692136886103,0.8581437227514841,0.7333333333333333,0.16666666666666666,0.030303030303030304,0.34415727466603474,0.5230166525270084,0.19217988793811372,0.9333333333333333,somnolence; dry mouth; dizziness; insomnia; nervousness,abnormal dreams; gait disturbance; eye pain; amnesia; muscle twitching
CAFNet-D,1,378,trazodone,66,0.5655881856849067,0.9437369383490073,0.7254521107352793,0.8,0.18181818181818182,0.09090909090909091,0.568315887240505,0.5981505958777746,0.23910710006532507,1.0,dizziness; nausea; somnolence; vomiting; asthenia,amnesia; coordination abnormal; gait disturbance; muscle twitching; speech disorder
CAFNet-DG,1,378,trazodone,66,0.5481872455492468,0.9411246081504703,0.8611375561264455,0.7333333333333333,0.16666666666666666,0.06666666666666667,0.47566645913113687,0.579674520434471,0.2232533980969914,1.0,dizziness; somnolence; nausea; vomiting; asthenia,amnesia; gait disturbance; coordination abnormal; muscle twitching; balance disorder
CAFNet,1,380,isotretinoin,16,0.09269316785437152,0.8506518404907976,0.06362078819895167,0.13333333333333333,0.125,0.3333333333333333,0.2166583933664679,0.10219035965774681,0.08968546931851791,0.6,dermatitis; rash; pruritus; alopecia; skin exfoliation,skin exfoliation; skin irritation; skin burning sensation; application site erythema; cheilitis
CAFNet-D,1,380,isotretinoin,16,0.15400986089671106,0.876661554192229,0.2646202227274384,0.2,0.1875,0.5,0.4963258883574748,0.203908831341848,0.3202640718926543,1.0,dermatitis; rash; pruritus; alopecia; dry skin,skin exfoliation; skin irritation; pain of skin; cheilitis; skin burning sensation
CAFNet-DG,1,380,isotretinoin,16,0.23565668109069818,0.8721881390593047,0.4373524791503101,0.2,0.1875,0.5,0.3482000142714428,0.3721156953203655,0.14667538817388848,1.0,dermatitis; rash; pruritus; alopecia; dry skin,skin exfoliation; skin irritation; skin burning sensation; application site erythema; cheilitis
CAFNet,1,384,trimethoprim,74,0.31528498264676497,0.7969741480611047,0.7416702490101529,0.5333333333333333,0.10810810810810811,0.012787810637202144,0.016466645521315604,0.37171178540998095,0.07625532379278362,1.0,insomnia; headache; diarrhoea; abdominal pain; vomiting,hallucination; photosensitivity reaction; pancreatitis; ataxia; dermatitis bullous
CAFNet-D,1,384,trimethoprim,74,0.3448191996400876,0.795123384253819,0.8521705090845473,0.7333333333333333,0.14864864864864866,0.04408050965428015,0.036689154866952296,0.409123446262903,0.0817768541981413,1.0,headache; nausea; dizziness; diarrhoea; vomiting,lethargy; ataxia; hallucination; nightmare; abnormal behaviour
CAFNet-DG,1,384,trimethoprim,74,0.3402500683890093,0.8067567567567567,0.8414929602590189,0.7333333333333333,0.14864864864864866,0.02412638082470674,0.03311871528840297,0.39807232065879394,0.07480151842301513,1.0,headache; nausea; diarrhoea; vomiting; dizziness,hallucination; ataxia; lethargy; nightmare; photosensitivity reaction
CAFNet,1,385,trimetrexate,20,0.2693391725852713,0.9428388090349076,0.35800251284680773,0.4,0.3,,,0.2745251067817181,0.07218160211090298,0.9333333333333333,fatigue; asthenia; vomiting; nausea; dermatitis,blood bilirubin increased; hyponatraemia; blood alkaline phosphatase increased; blood creatinine increased; hypocalcaemia
CAFNet-D,1,385,trimetrexate,20,0.3250816912987773,0.9055954825462013,0.5599332595218056,0.4666666666666667,0.35,,,0.3571241923627887,0.01850906870893757,1.0,nausea; vomiting; dermatitis; rash; pruritus,blood creatinine increased; blood alkaline phosphatase increased; hyponatraemia; blood bilirubin increased; hypocalcaemia
CAFNet-DG,1,385,trimetrexate,20,0.35323322011923985,0.9330082135523614,0.5446757407423163,0.4666666666666667,0.35,,,0.3653746195408522,0.04018526364052293,1.0,nausea; vomiting; dermatitis; rash; asthenia,blood creatinine increased; blood alkaline phosphatase increased; blood bilirubin increased; hyponatraemia; hypocalcaemia
CAFNet,1,412,aminophylline,20,0.16573930506082715,0.7429158110882957,0.4000281257540002,0.26666666666666666,0.2,0.012065040650406506,0.021391105253455306,0.22617628996384764,0.012853525556115377,0.8666666666666667,vomiting; gastrointestinal pain; abdominal pain; diarrhoea; hyperglycaemia,disorientation; haematemesis; atrial fibrillation; supraventricular tachycardia; rhabdomyolysis
CAFNet-D,1,412,aminophylline,20,0.10571255289795252,0.6338809034907598,0.20483424751859086,0.26666666666666666,0.2,0.005587619532620381,0.011284329165085453,0.14882826219354395,0.008504177038612335,1.0,diarrhoea; vomiting; abdominal pain; gastrointestinal pain; hypotension,haematemesis; atrial fibrillation; disorientation; ventricular extrasystoles; rhabdomyolysis
CAFNet-DG,1,412,aminophylline,20,0.11526551840092283,0.6529260780287474,0.3347092591719315,0.26666666666666666,0.2,0.005820399113082041,0.01182677130630083,0.16037035027790558,0.008834625623528505,1.0,diarrhoea; vomiting; abdominal pain; gastrointestinal pain; hypotension,haematemesis; atrial fibrillation; disorientation; ventricular extrasystoles; rhabdomyolysis
CAFNet,1,447,goserelin,111,0.585288348545358,0.8906216522298064,0.8603818544462509,0.8,0.10810810810810811,0.11773051632835989,0.2996830927833998,0.6520900364975905,0.37674924152323086,0.6,menopausal symptoms; hot flush; affect lability; headache; mood swings,menopausal symptoms; hot flush; affect lability; mood swings; migraine
CAFNet-D,1,447,goserelin,111,0.5703118795506562,0.880464836297226,0.9363792118010483,0.8,0.10810810810810811,0.037292496964028095,0.10070357142043371,0.645018138961488,0.22168083749216932,1.0,headache; nausea; dizziness; diarrhoea; vomiting,diabetes mellitus; angina pectoris; mood swings; bone pain; lethargy
CAFNet-DG,1,447,goserelin,111,0.6187820246927257,0.9013600236703295,0.9363792118010483,0.8,0.10810810810810811,0.06604644210741942,0.3099352798617504,0.6838605356509845,0.353201522764497,1.0,headache; dizziness; nausea; diarrhoea; vomiting,hot flush; menopausal symptoms; mood swings; affect lability; migraine
CAFNet,1,449,miglustat,43,0.4057175374510709,0.8472599222360796,0.48882922182497535,0.6,0.20930232558139536,0.006807991900659105,0.0034482758620689655,0.45027230882252006,0.0673014079560129,0.8666666666666667,headache; vertigo; gastrointestinal pain; nausea; vomiting,influenza like illness; abdominal pain upper; eye disorder; gait disturbance; amnesia
CAFNet-D,1,449,miglustat,43,0.4735558019607074,0.8873645856259018,0.8572048559638626,0.6666666666666666,0.23255813953488372,0.012201340326340326,0.010752688172043012,0.514283152630818,0.15719838393267757,1.0,headache; nausea; vomiting; diarrhoea; dizziness,abdominal pain upper; influenza like illness; eye disorder; migraine; menstrual disorder
CAFNet-DG,1,449,miglustat,43,0.475845535195052,0.8885872887780305,0.7125523635307982,0.7333333333333333,0.2558139534883721,0.011165577342047931,0.007751937984496124,0.5150765094800744,0.08027718630630017,1.0,headache; nausea; vomiting; diarrhoea; dizziness,influenza like illness; abdominal pain upper; eye disorder; migraine; menstrual disorder
CAFNet,1,454,treprostinil,26,0.31239859730020086,0.8572790845518118,0.5791641632480278,0.4,0.23076923076923078,0.006706438180653427,0.031018518518518518,0.3620277849068928,0.01535115484124697,1.0,headache; vomiting; nausea; diarrhoea; dizziness,abdominal discomfort; throat irritation; pain in jaw; melaena; laryngeal pain
CAFNet-D,1,454,treprostinil,26,0.4016261720241115,0.9106007628734901,0.642186726668901,0.5333333333333333,0.3076923076923077,0.054411764705882354,0.031363636363636364,0.46215626007745547,0.05706851298154415,1.0,headache; dizziness; nausea; vomiting; diarrhoea,abdominal discomfort; laryngeal pain; pain in jaw; infusion site pain; throat irritation
CAFNet-DG,1,454,treprostinil,26,0.39910200949599606,0.9093690400508583,0.6489315753318465,0.4666666666666667,0.2692307692307692,0.05103359173126615,0.036630036630036625,0.4588609822064496,0.03724892605363084,1.0,headache; nausea; dizziness; vomiting; diarrhoea,abdominal discomfort; laryngeal pain; pain in jaw; infusion site pain; throat irritation
CAFNet,1,478,duloxetine,230,0.5964524713850268,0.7545953790120647,1.0,0.9333333333333333,0.06086956521739131,0.22445786916969115,0.2382526300909329,0.7450924897837725,0.3946332133331719,0.9333333333333333,abdominal discomfort; dry mouth; decreased appetite; diarrhoea; constipation,abdominal discomfort; irritability; urinary retention; influenza like illness; epigastric discomfort
CAFNet-D,1,478,duloxetine,230,0.632597352380916,0.8192692920555429,1.0,1.0,0.06521739130434782,0.2325690028290246,0.3111785849859793,0.7370795423519502,0.4544632931709211,1.0,headache; dizziness; nausea; diarrhoea; asthenia,affect lability; menopausal symptoms; hot flush; mood swings; disturbance in sexual arousal
CAFNet-DG,1,478,duloxetine,230,0.6419483810582967,0.8171010698839063,1.0,1.0,0.06521739130434782,0.26127834220500923,0.3290379593297757,0.7536963438132673,0.4668015782226064,1.0,headache; nausea; dizziness; diarrhoea; vomiting,abdominal discomfort; irritability; affect lability; urinary retention; hot flush
CAFNet,1,484,adefovir.dipivoxil,17,0.6585082981734688,0.9604431332410139,0.8630152897016883,0.7333333333333333,0.6470588235294118,,,0.661427656448931,0.040825452132072344,1.0,diarrhoea; vomiting; nausea; gastrointestinal pain; abdominal pain,hypophosphataemia; renal impairment; renal failure; blood creatinine increased
CAFNet-D,1,484,adefovir.dipivoxil,17,0.6522147353524138,0.9804925040640617,0.8414929602590189,0.6666666666666666,0.5882352941176471,,,0.6524667514814462,0.5899209486166008,1.0,headache; nausea; diarrhoea; vomiting; asthenia,blood creatinine increased; renal failure; renal impairment; hypophosphataemia
CAFNet-DG,1,484,adefovir.dipivoxil,17,0.6746212431505068,0.9740502137395388,0.8643145546088338,0.7333333333333333,0.6470588235294118,,,0.6748278831835691,0.13829596642096642,1.0,diarrhoea; nausea; headache; vomiting; abdominal pain,renal failure; blood creatinine increased; renal impairment; hypophosphataemia
CAFNet,1,498,telmisartan,107,0.4589434523663968,0.7683201803833145,1.0,1.0,0.14018691588785046,0.007649158592554819,0.0812627322628316,0.5624415791240884,0.13136975133573658,1.0,rash; dermatitis; diarrhoea; headache; dizziness,influenza like illness; blood creatinine increased; hypoglycaemia; hyperkalaemia; eczema
CAFNet-D,1,498,telmisartan,107,0.5830755431457516,0.8778724883836095,1.0,0.9333333333333333,0.1308411214953271,0.007579482137004261,0.0811517420841482,0.6553398620213688,0.15902037352005444,1.0,headache; nausea; dizziness; diarrhoea; vomiting,sepsis; abdominal discomfort; gastritis; eczema; skin disorder
CAFNet-DG,1,498,telmisartan,107,0.5572666725915822,0.8773772771813,1.0,1.0,0.14018691588785046,0.006869980968295966,0.08095340279740092,0.6281118747524432,0.17324188582435374,1.0,headache; nausea; diarrhoea; dermatitis; rash,influenza like illness; blood creatinine increased; eczema; abdominal discomfort; gastritis
CAFNet,1,503,nebivolol,13,0.34715275494163894,0.977926762330432,0.38431135260440824,0.3333333333333333,0.38461538461538464,,,0.34715275494163894,,1.0,headache; insomnia; dizziness; fatigue; asthenia,
CAFNet-D,1,503,nebivolol,13,0.7269175980714442,0.992158707755038,0.8414929602590189,0.6,0.6923076923076923,,,0.7269175980714442,,1.0,dizziness; headache; nausea; diarrhoea; asthenia,
CAFNet-DG,1,503,nebivolol,13,0.6969804156063455,0.9897279071590999,0.8482378089219645,0.5333333333333333,0.6153846153846154,,,0.6969804156063455,,1.0,dizziness; headache; nausea; diarrhoea; asthenia,
CAFNet,1,514,atovaquone,39,0.5237020648779058,0.9129950328903209,0.8643145546088338,0.8,0.3076923076923077,,0.007633587786259542,0.5521531034079948,0.0170703144073202,1.0,headache; diarrhoea; vomiting; gastrointestinal pain; abdominal pain,hyperkalaemia; hypoglycaemia; bronchospasm; blood creatinine increased; hyponatraemia
CAFNet-D,1,514,atovaquone,39,0.569162158845311,0.9300040273862263,1.0,0.8666666666666667,0.3333333333333333,,0.008064516129032258,0.5894867293930545,0.030872208873178847,1.0,nausea; headache; diarrhoea; dizziness; vomiting,hypoglycaemia; bronchospasm; blood creatinine increased; hyperkalaemia; hyponatraemia
CAFNet-DG,1,514,atovaquone,39,0.5843294100585242,0.9347026446502886,1.0,0.8666666666666667,0.3333333333333333,,0.008547008547008548,0.6036470354870668,0.03002906954020995,1.0,headache; nausea; diarrhoea; vomiting; dizziness,hypoglycaemia; bronchospasm; blood creatinine increased; hyperkalaemia; hyponatraemia
CAFNet,1,515,frovatriptan,106,0.47727639450261816,0.8582143464218936,0.7007731679885374,0.6666666666666666,0.09433962264150944,0.00689165674512318,0.0805195157635951,0.5513012502312189,0.1656821675008747,1.0,discomfort; feeling abnormal; ill-defined disorder; malaise; asthenia,muscular weakness; gastrooesophageal reflux disease; osteoarthritis; hiccups; thirst
CAFNet-D,1,515,frovatriptan,106,0.4833596633587966,0.8589792622811492,0.6777277508780453,0.6666666666666666,0.09433962264150944,0.036954087346024636,0.04512334998642821,0.5463358693436494,0.1897373358770175,1.0,dizziness; diarrhoea; vomiting; asthenia; constipation,migraine; mental disability; hot flush; affect lability; hypertonia
CAFNet-DG,1,515,frovatriptan,106,0.49790832779259037,0.8709363844977054,0.5302442049991306,0.6666666666666666,0.09433962264150944,0.024325827078120657,0.05564514269360189,0.5588985831284241,0.19877220627534806,1.0,dizziness; asthenia; vomiting; diarrhoea; feeling abnormal,muscular weakness; osteoarthritis; ataxia; gastrooesophageal reflux disease; thirst
CAFNet,1,516,eletriptan,199,0.49939151340330934,0.7382067570557188,0.7340370951066082,0.7333333333333333,0.05527638190954774,0.03399616930039987,0.15734010771198656,0.6557964465380834,0.21990713136017512,1.0,headache; abdominal pain; gastrointestinal pain; diarrhoea; dry mouth,abdominal pain upper; hallucination; vaginal infection; yawning; menorrhagia
CAFNet-D,1,516,eletriptan,199,0.6410154125585182,0.858582219272463,0.7257345305446319,0.8,0.06030150753768844,0.07115901324002061,0.14064479574264677,0.7605316707030094,0.4004157628909062,1.0,headache; dizziness; diarrhoea; asthenia; somnolence,affect lability; chest discomfort; mental disability; euphoric mood; increased appetite
CAFNet-DG,1,516,eletriptan,199,0.6150438624009885,0.8521980974052652,0.7027284035579431,0.8,0.06030150753768844,0.05613614271529992,0.15197797007238636,0.725044099037859,0.3559101016914727,1.0,headache; dizziness; diarrhoea; asthenia; dry mouth,abdominal pain upper; affect lability; hallucination; chest discomfort; euphoric mood
CAFNet,1,517,paricalcitol,53,0.5208359881705854,0.8840354500431095,0.900346883204941,0.8,0.22641509433962265,0.005201958384332925,,0.5637920097231988,0.03573260969545491,1.0,headache; diarrhoea; dizziness; rash; dermatitis,oropharyngeal pain; arthritis; gastrointestinal haemorrhage; abdominal discomfort; fungal infection
CAFNet-D,1,517,paricalcitol,53,0.5044393365367857,0.887013013053155,0.933745776545611,0.8666666666666667,0.24528301886792453,0.006474958988709833,,0.5533265068963887,0.032358002694376796,1.0,headache; nausea; dizziness; diarrhoea; asthenia,arthritis; oropharyngeal pain; abdominal discomfort; hypoglycaemia; fungal infection
CAFNet-DG,1,517,paricalcitol,53,0.5454343117137195,0.8998055059852024,0.8701249883466594,0.8666666666666667,0.24528301886792453,0.006001550962608314,,0.5836609599692477,0.03610914583951461,1.0,headache; nausea; diarrhoea; dizziness; asthenia,oropharyngeal pain; arthritis; abdominal discomfort; hypoglycaemia; fungal infection
CAFNet,1,522,bortezomib,78,0.5331179035762598,0.8344810211622439,1.0,0.9333333333333333,0.1794871794871795,0.03798168161279759,0.029384634567807613,0.6591659451379135,0.0554409340910985,0.9333333333333333,dizziness; diarrhoea; fatigue; asthenia; abdominal pain,angina pectoris; abdominal pain upper; hyperbilirubinaemia; sepsis; bone pain
CAFNet-D,1,522,bortezomib,78,0.6535343708489368,0.8773513604299631,1.0,1.0,0.19230769230769232,0.07218636385835747,0.09349893925620234,0.7639993837819093,0.12100358157219757,1.0,headache; nausea; dizziness; diarrhoea; vomiting,abdominal pain upper; musculoskeletal pain; bone pain; mental disorder; hypercalcaemia
CAFNet-DG,1,522,bortezomib,78,0.6404403125371794,0.8793248236479678,1.0,1.0,0.19230769230769232,0.05466680892156686,0.06996156018872872,0.749986371153952,0.11909484087978489,1.0,dizziness; headache; diarrhoea; nausea; vomiting,abdominal pain upper; angina pectoris; hyperbilirubinaemia; bone pain; musculoskeletal pain
CAFNet,1,539,ustekinumab,35,0.3341141081350313,0.8106658721882913,0.5841001288420855,0.6,0.2571428571428571,0.016693210518702168,0.0072992700729927005,0.38355064925613547,0.04801316302008005,1.0,headache; diarrhoea; nausea; musculoskeletal discomfort; myalgia,nasal congestion; injection site reaction; laryngeal pain; oropharyngeal pain; swelling
CAFNet-D,1,539,ustekinumab,35,0.3876395662854327,0.8754655146730225,0.8236998933965709,0.6,0.2571428571428571,0.014527612592300322,0.03333333333333333,0.4385370371674427,0.17364115334094005,1.0,headache; nausea; dizziness; diarrhoea; asthenia,injection site reaction; nasal congestion; swelling; laryngeal pain; injection site pain
CAFNet-DG,1,539,ustekinumab,35,0.3930049365711317,0.8762103381498584,0.6835381846158708,0.6,0.2571428571428571,0.015296027559664985,0.03333333333333333,0.44213045637426396,0.13471409610090782,1.0,headache; nausea; diarrhoea; dizziness; asthenia,nasal congestion; injection site reaction; laryngeal pain; swelling; oropharyngeal pain
CAFNet,1,556,olmesartan.medoxomil,61,0.5379968781614837,0.8875564458032436,0.933745776545611,0.8666666666666667,0.21311475409836064,0.008795869444956667,0.025057603686635944,0.5782256131853621,0.18184910907896756,1.0,diarrhoea; headache; vomiting; nausea; gastrointestinal pain,influenza like illness; injury; blood creatinine increased; blood urea increased; hyperkalaemia
CAFNet-D,1,556,olmesartan.medoxomil,61,0.5589282115590994,0.87837576652083,0.933745776545611,0.8666666666666667,0.21311475409836064,0.0260146804835924,0.011224297302395774,0.6052993692826976,0.10755358822583315,1.0,headache; nausea; dizziness; vomiting; diarrhoea,injury; influenza like illness; rhinorrhoea; laryngeal pain; angina pectoris
